
Effective From:Â June 01,2020	
Product Name	Rs./litre
E10 Gasoline	72.03
Altron Premium	74.52
Action + Diesel	80.15
LDO	38.14
SKO	35.56
JP-1	24.85
	
Effective From:Â May 01,2020	
Product Name	Rs./litre
E10 Gasoline	79.08
Altron Premium	81.58
Action + Diesel	80.1
LDO	47.51
SKO	47.44
JP-1	49.05
	
Effective From:Â March 25,2020	
Product Name	Rs./litre
E10 Gasoline	94.08
Altron Premium	96.58
Action + Diesel	107.25
LDO	62.51
SKO	77.45
JP-1	77.37
	
Effective From:Â March 01,2020	
Product Name	Rs./litre
E10 Gasoline	109.09
Altron Premium	111.59
Action + Diesel	122.25
LDO	77.51
SKO	92.45
JP-1	80.92
	
Effective From:Â February 01,2020	
Product Name	Rs./litre
E10 Gasoline	114.1
Altron Premium	116.6
Action + Diesel	127.26
LDO	84.51
SKO	99.45
JP-1	90.87
	
Effective From:Â January 01,2020	
Product Name	Rs./litre
E10 Gasoline	114.1
Altron Premium	116.6
Action + Diesel	127.26
LDO	84.51
SKO	99.45
JP-1	93.02
	
Effective From:Â December 01,2019	
Product Name	Rs./litre
E10 Gasoline	111.49
Altron Premium	113.99
Action + Diesel	125.01
LDO	82.43
SKO	96.35
JP-1	85.34
	
Effective From:Â November 01,2019	
Product Name	Rs./litre
E10 Gasoline	111.74
Altron Premium	114.24
Action + Diesel	127.41
LDO	85.33
SKO	97.18
JP-1	86.15
	
Effective From:Â October 01,2019	
Product Name	Rs./litre
E10 Gasoline	110.74
Altron Premium	113.24
Action + Diesel	127.14
LDO	91.89
SKO	99.57
JP-1	89.33
	
Effective From:Â September 01,2019	
Product Name	Rs./litre
E10 Gasoline	110.74
Altron Premium	113.24
Action + Diesel	127.14
LDO	91.89
SKO	99.57
JP-1	87.7
	
Effective From:Â August 01,2019	
Product Name	Rs./litre
E10 Gasoline	115.33
Altron Premium	117.83
Action + Diesel	132.47
LDO	97.52
SKO	103.84
JP-1	92.3
	
Effective From:Â July 01,2019	
Product Name	Rs./litre
E10 Gasoline	110.18
Altron Premium	112.68
Action + Diesel	126.82
LDO	88.62
SKO	98.46
JP-1	83.99
	
Effective From:Â June 01,2019	
Product Name	Rs./litre
E10 Gasoline	110.18
Altron Premium	112.68
Action + Diesel	126.82
LDO	88.62
SKO	98.46
JP-1	87.45
	
Effective From:Â May 05,2019	
Product Name	Rs./litre
E10 Gasoline	--
Altron Premium	108.42
Action + Diesel	122.32
LDO	86.94
SKO	96.77
JP-1	--
	
Effective From:Â May 01,2019	
Product Name	Rs./litre
E10 Gasoline	96.38
Altron Premium	98.89
Action + Diesel	117.43
LDO	80.54
SKO	89.31
JP-1	85.75
	
Effective From:Â April 01,2019	
Product Name	Rs./litre
E10 Gasoline	96.38
Altron Premium	98.89
Action + Diesel	117.43
LDO	80.54
SKO	89.31
JP-1	81.95
	
Effective From:Â March 01,2019	
Product Name	Rs./litre
E10 Gasoline	90.39
Altron Premium	92.89
Action + Diesel	111.43
LDO	77.54
SKO	86.31
JP-1	78.93
	
Effective From:Â February 01,2019	
Product Name	Rs./litre
E10 Gasoline	87.88
Altron Premium	90.38
Action + Diesel	106.68
LDO	75.03
SKO	82.31
JP-1	72.07
	
Effective From:Â January 01,2019	
Product Name	Rs./litre
E10 Gasoline	88.48
Altron Premium	90.97
Action + Diesel	106.68
LDO	75.28
SKO	82.98
JP-1	72.19
	
Effective From:Â December 01,2018	
Product Name	Rs./litre
E10 Gasoline	93.33
Altron Premium	95.83
Action + Diesel	110.94
LDO	77.44
SKO	83.5
JP-1	84.42
	
Effective From:Â November 01,2018	
Product Name	Rs./litre
E10 Gasoline	98.44
Altron Premium	97.83
Action + Diesel	112.94
LDO	82.44
SKO	86.5
JP-1	92.34
	
Effective From:Â October 01,2018	
Product Name	Rs./litre
E10 Gasoline	90.34
Altron Premium	92.83
Action + Diesel	106.57
LDO	75.96
SKO	83.5
JP-1	84.83
	
Effective From:Â September 01,2018	
Product Name	Rs./litre
E10 Gasoline	--
Altron Premium	92.83
Action + Diesel	106.57
LDO	75.96
SKO	83.5
JP-1	80.94
	
Effective From:Â August 01,2018	
Product Name	Rs./litre
E10 Gasoline	92.75
Altron Premium	95.24
Action + Diesel	112.94
LDO	75.37
SKO	83.96
JP-1	81.44
	
Effective From:Â July 08,2018	
Product Name	Rs./litre
E10 Gasoline	92.73
Altron Premium	95.24
Action + Diesel	112.94
LDO	75.37
SKO	83.96
JP-1	76.18
	
Effective From:Â July 01,2018	
Product Name	Rs./litre
E10 Gasoline	97
Altron Premium	99.5
Action + Diesel	119.31
LDO	80.91
SKO	87.7
JP-1	76.18
	
Effective From:Â June 12,2018	
Product Name	Rs./litre
E10 Gasoline	89.46
Altron Premium	91.96
Action + Diesel	105.31
LDO	74.99
SKO	84.34
JP-1	76.62
	
Effective From:Â June 01,2018	
Product Name	Rs./litre
E10 Gasoline	85.2
Altron Premium	87.7
Action + Diesel	98.76
LDO	68.85
SKO	79.88
JP-1	76.62
	
Effective From:Â May 01,2018	
Product Name	Rs./litre
E10 Gasoline	85.2
Altron Premium	87.7
Action + Diesel	98.76
LDO	68.85
SKO	79.87
JP-1	72.41
	
Effective From:Â April 01,2018	
Product Name	Rs./litre
E10 Gasoline	83.5
Altron Premium	86
Action + Diesel	96.45
LDO	65.3
SKO	76.46
JP-1	56.05
	
Effective From:Â March 01,2018	
Product Name	Rs./litre
E10 Gasoline	85.57
Altron Premium	88.07
Action + Diesel	98.45
LDO	65.3
SKO	76.46
JP-1	65.36
	
Effective From:Â February 01,2018	
Product Name	Rs./litre
E10 Gasoline	82.01
Altron Premium	84.51
Action + Diesel	95.83
LDO	64.3
SKO	70.18
JP-1	65.85
	
Effective From:Â January 01,2018	
Product Name	Rs./litre
E10 Gasoline	--
Altron Premium	81.53
Action + Diesel	89.91
LDO	58.37
SKO	64.32
JP-1	62.35
	
Effective From:Â December 01,2017	
Product Name	Rs./litre
E10 Gasoline	74.97
Altron Premium	77.47
Action + Diesel	85.95
LDO	52.12
SKO	57.58
JP-1	57.22
	
Effective From:Â November 01,2017	
Product Name	Rs./litre
E10 Gasoline	73.49
Altron Premium	75.99
Action + Diesel	84.59
LDO	49
SKO	53.19
JP-1	52.91
	
Effective From:Â October 01,2017	
Product Name	Rs./litre
E10 Gasoline	71
Altron Premium	73.5
Action + Diesel	79.4
LDO	46
SKO	48
JP-1	52.26
	
Effective From:Â September 01,2017	
Product Name	Rs./litre
E10 Gasoline	69.01
Altron Premium	71.5
Action + Diesel	77.4
LDO	44
SKO	44
JP-1	48.77
	
Effective From:Â August 06,2017	
Product Name	Rs./litre
E10 Gasoline	67.01
Altron Premium	69.5
Action + Diesel	77.4
LDO	44
SKO	44
JP-1	45.98
	
Effective From:Â August 01,2017	
Product Name	Rs./litre
E10 Gasoline	68.8
Altron Premium	71.3
Action + Diesel	79.9
LDO	44
SKO	44
JP-1	45.98
	
Effective From:Â July 01,2017	
Product Name	Rs./litre
E10 Gasoline	68.8
Altron Premium	71.3
Action + Diesel	79.9
LDO	44
SKO	44
JP-1	44.4
	
Effective From:Â June 01,2017	
Product Name	Rs./litre
E10 Gasoline	70.31
Altron Premium	72.8
Action + Diesel	81.4
LDO	44
SKO	44
JP-1	46.99
	
Effective From:Â May 01,2017	
Product Name	Rs./litre
E10 Gasoline	71.5
Altron Premium	74
Action + Diesel	83
LDO	44
SKO	44
JP-1	49.42
	
Effective From:Â April 01,2017	
Product Name	Rs./litre
E10 Gasoline	71.5
Altron Premium	74
Action + Diesel	83
LDO	44
SKO	44
JP-1	50.81
	
Effective From:Â March 01,2017	
Product Name	Rs./litre
E10 Gasoline	70.5
Altron Premium	73
Action + Diesel	82
LDO	44
SKO	44
JP-1	50.94
	
Effective From:Â February 16,2017	
Product Name	Rs./litre
E10 Gasoline	68.8
Altron Premium	71.29
Action + Diesel	80.48
LDO	43.34
SKO	43.25
JP-1	51.53
	
Effective From:Â February 01,2017	
Product Name	Rs./litre
E10 Gasoline	67.79
Altron Premium	70.29
Action + Diesel	79.48
LDO	43.34
SKO	43.25
JP-1	51.53
	
Effective From:Â January 16,2017	
Product Name	Rs./litre
E10 Gasoline	65.54
Altron Premium	68.04
Action + Diesel	77.22
LDO	43.34
SKO	43.25
JP-1	51.62
	
Effective From:Â January 01,2017	
Product Name	Rs./litre
E10 Gasoline	63.77
Altron Premium	66.27
Action + Diesel	75.22
LDO	43.34
SKO	43.25
JP-1	51.62
	
Effective From:Â December 01,2016	
Product Name	Rs./litre
E10 Gasoline	63.77
Altron Premium	66.27
Action + Diesel	75.22
LDO	43.34
SKO	43.25
JP-1	44.61
	
Effective From:Â November 01,2016	
Product Name	Rs./litre
E10 Gasoline	61.78
Altron Premium	64.27
Action + Diesel	72.52
LDO	43.34
SKO	43.25
JP-1	46.67
	
Effective From:Â October 01,2016	
Product Name	Rs./litre
E10 Gasoline	0
HOBC	69.89
Altron Premium	64.27
Altron Plus Diesel	72.52
LDO	43.34
SKO	43.25
JP-1	42.19
	
Effective From:Â September 01,2016	
Product Name	Rs./litre
E10 Gasoline	61.78
HOBC	69.85
Altron Premium	64.27
Altron Plus Diesel	72.52
LDO	43.34
SKO	43.25
JP-1	40.51
	
Effective From:Â August 01,2016	
Product Name	Rs./litre
E10 Gasoline	61.78
HOBC	69.95
Altron Premium	64.27
Altron Plus Diesel	72.52
LDO	43.35
SKO	43.25
JP-1	45.19
	
Effective From:Â July 01,2016	
Product Name	Rs./litre
E10 Gasoline	61.78
HOBC	69.95
Altron Premium	64.27
